sha256,App_name,High,Medium,Low
49052A690EB33506385EA02EE57EA29A49392DF2564273FDFE7EEED9A9247A81,GTBank,11,6,2
sha256,App_name,High,Medium,Low
A6D0DCB255AFF40E9A4719B88562F48738F3CEA61413C8AFC8427B04C84D2F77,Pocket Bank,6,20,7
sha256,App_name,High,Medium,Low
6E1FBDC15CBDE01E8F1DAD0053EE682877CAE1A3C08FAFBC409937C8682D5A6C,SARA BY AFRILAND CAMEROON,7,16,12
sha256,App_name,High,Medium,Low
E151197771495B3970FFA8B672F9ABD19E07300F5752F296D98351724FC76FA2,BMCE Direct,9,8,1
sha256,App_name,High,Medium,Low
07DFD90EFEE05EE68EA487FF0464F5B760A1DF73DC74F0FC55BC5A0A79E27995,Attijari Mobile,18,11,43
sha256,App_name,High,Medium,Low
271DE42F3CBD6484F4C26B1165C81752087A8A2D331204D1AE206FE21BD9CF6F,BGFIMobile,13,20,5
sha256,App_name,High,Medium,Low
F8CC8ADFC1F5CFF4763DE6136D79FAD4FDB438CD7E333FFE66E97E367029317E,FirstMobile,8,15,13
sha256,App_name,High,Medium,Low
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,6,36,6
sha256,App_name,High,Medium,Low
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,16,14,12
sha256,App_name,High,Medium,Low
B93F055C53BC7C8BB4B67BF7CA0DBB24D1F371627DF85969B462B4E750EDA834,Orange Bank,4,8,17
sha256,App_name,High,Medium,Low
29C64365418382DEF56EBC585353473BBDA3C90763E55AF0AB6D7503E5594752,Private Bank,33,12,8
