sha256,App_name,Category,Number of type
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Network,4
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Permissions,3
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Cryptography,4
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Storage,1
0BA4A23B9AD881117293F87241D63E795490DF83984DBD7AFD15E2603A73F054,SG,Inter-Component Communication,1
sha256,App_name,Category,Number of type
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Network,5
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Potentially Malicious,1
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Cryptography,5
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Inter-Component Communication,1
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Permissions,3
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,Java Code Security,1
15D4FAD7F1A882052BC6E21D2B7BB609C5D4A73FB4A2C7888A16ABD049B5DAD6,Mes Comptes,UI,1
sha256,App_name,Category,Number of type
B93F055C53BC7C8BB4B67BF7CA0DBB24D1F371627DF85969B462B4E750EDA834,Orange Bank,Network,3
B93F055C53BC7C8BB4B67BF7CA0DBB24D1F371627DF85969B462B4E750EDA834,Orange Bank,Storage,1
B93F055C53BC7C8BB4B67BF7CA0DBB24D1F371627DF85969B462B4E750EDA834,Orange Bank,Java Code Security,1
B93F055C53BC7C8BB4B67BF7CA0DBB24D1F371627DF85969B462B4E750EDA834,Orange Bank,Cryptography,1
B93F055C53BC7C8BB4B67BF7CA0DBB24D1F371627DF85969B462B4E750EDA834,Orange Bank,Permissions,3
sha256,App_name,Category,Number of type
29C64365418382DEF56EBC585353473BBDA3C90763E55AF0AB6D7503E5594752,Private Bank,Local Storage - SQLite and Other Databases,1
29C64365418382DEF56EBC585353473BBDA3C90763E55AF0AB6D7503E5594752,Private Bank,Network,9
29C64365418382DEF56EBC585353473BBDA3C90763E55AF0AB6D7503E5594752,Private Bank,Cryptography,2
29C64365418382DEF56EBC585353473BBDA3C90763E55AF0AB6D7503E5594752,Private Bank,Permissions,4
29C64365418382DEF56EBC585353473BBDA3C90763E55AF0AB6D7503E5594752,Private Bank,Java Code Security,1
29C64365418382DEF56EBC585353473BBDA3C90763E55AF0AB6D7503E5594752,Private Bank,Potentially Malicious,1
29C64365418382DEF56EBC585353473BBDA3C90763E55AF0AB6D7503E5594752,Private Bank,Storage,2
29C64365418382DEF56EBC585353473BBDA3C90763E55AF0AB6D7503E5594752,Private Bank,UI,1
